tkIdentificador
tkLiteral
tkConstante 1
tkInteiro inteiro
tkVirgula ,
tkPontoVirgula ;
tkParenteseAbre (
tkParenteseFecha )
tkDoisPontos :
tkInicio inicio
tkFim fim
tkSe se
tkEntao entao
tkFimSe fim_se
tkSenao senao
tkPara para
tkDe de
tkAte ate
tkFimPara fim_para
tkIncr incr
tkLeia leia
tkImprima imprima
tkMais +
tkMenos -
tkIgual ==
tkMenor <
tkMaior >
tkMaiorIgual >=
tkMenorIgual <=
tkDiferente <>
tkAtribuicao =
tkMultiplicacao *
tkDivisao /
tkE e
tkOu ou
tkNao nao
